当前日期;次日日期;涨跌幅(%);振幅(%);成交额(千万元);次日涨跌(1=涨,0=跌,-1=最新数据)
20251022;;-0.440;1.330;101.240;-1
20251021;20251022;2.710;2.928;183.897;0
20251020;20251021;0.680;1.584;111.163;1
20251017;20251020;-2.220;2.902;148.499;1
20251016;20251017;-2.170;3.037;142.941;0
20251015;20251016;0.880;2.418;138.296;0
20251014;20251015;-1.720;4.077;189.320;1
20251013;20251014;-2.320;4.667;195.504;0
20251010;20251013;1.060;3.822;256.462;0
20251009;20251010;0.000;1.702;206.622;1
20250930;20251009;-0.630;2.326;190.070;0
20250929;20250930;0.420;2.760;192.600;0
20250926;20250929;-0.840;2.960;191.422;1
20250925;20250926;-1.450;2.292;201.568;0
20250924;20250925;1.260;2.954;227.263;0
20250923;20250924;-4.420;5.444;354.343;1
20250922;20250923;0.610;3.055;286.829;0
20250919;20250922;-4.440;4.845;450.853;1
20250918;20250919;-3.720;6.145;727.915;0
20250917;20250918;-3.060;2.545;594.736;0
20250916;20250917;4.320;3.683;871.067;0
20250915;20250916;-2.390;3.499;623.188;1
20250912;20250915;-2.680;3.237;814.501;0
20250911;20250912;-0.360;3.993;1267.750;0
20250910;20250911;6.840;10.057;1726.214;0
20250909;20250910;-5.400;5.292;896.339;1
20250908;20250909;3.730;6.691;1287.226;0
20250905;20250908;0.190;6.513;1051.564;1
20250904;20250905;0.750;7.590;1855.768;1
20250903;20250904;6.410;11.400;1238.159;1
20250902;20250903;-0.990;3.740;457.434;1
20250901;20250902;4.130;5.785;598.829;0
20250829;20250901;0.000;3.719;344.294;1
20250828;20250829;0.620;6.418;451.899;0
20250827;20250828;-2.830;6.640;627.542;1
20250826;20250827;2.700;4.583;553.549;0
20250825;20250826;0.000;2.484;334.378;1
20250822;20250825;-0.410;1.860;286.626;0
20250821;20250822;-1.220;3.673;351.563;0
20250820;20250821;2.080;2.720;413.341;0
20250819;20250820;1.050;2.526;393.039;1
20250818;20250819;3.260;3.896;421.088;1
20250815;20250818;0.880;1.535;169.120;1
20250814;20250815;-2.980;3.397;256.297;1
20250813;20250814;0.000;1.496;191.784;0
20250812;20250813;-0.420;1.483;176.456;0
20250811;20250812;1.290;2.796;234.796;0
20250808;20250811;-1.060;1.496;195.535;1
20250807;20250808;-0.420;1.691;236.390;0
20250806;20250807;1.720;1.923;441.600;0
20250805;20250806;2.650;4.185;495.423;1
20250804;20250805;1.120;3.146;157.532;1
20250801;20250804;0.670;2.022;137.927;1
20250731;20250801;-1.550;2.444;189.606;1
20250730;20250731;-1.530;2.614;196.884;0
20250729;20250730;-1.500;2.366;223.842;0
20250728;20250729;0.870;1.509;244.870;0
20250725;20250728;0.430;1.732;192.975;1
20250724;20250725;1.550;2.655;230.365;1
20250723;20250724;-1.950;2.397;232.682;1
20250722;20250723;-0.220;2.160;248.436;0
20250721;20250722;2.210;2.418;309.452;0
20250718;20250721;-0.880;2.183;174.608;1
20250717;20250718;1.560;2.444;225.989;0
20250716;20250717;0.900;3.097;244.047;1
20250715;20250716;-1.760;3.753;249.830;1
20250714;20250715;-0.660;2.183;183.240;0
20250711;20250714;0.660;2.212;263.005;0
20250710;20250711;0.440;1.774;162.395;1
20250709;20250710;-0.880;1.754;182.955;1
20250708;20250709;0.880;2.000;174.441;0
20250707;20250708;0.890;2.232;140.466;1
20250704;20250707;-1.750;2.188;188.392;1
20250703;20250704;0.880;1.552;204.900;0
20250702;20250703;-2.160;2.826;240.518;1
20250701;20250702;1.090;2.179;343.692;0
20250630;20250701;0.000;1.304;255.557;1
20250627;20250630;-0.870;2.366;368.573;0
20250626;20250627;1.320;5.286;695.708;0
20250625;20250626;-2.990;5.544;870.374;1
20250624;20250625;10.090;9.836;867.644;0
20250623;20250624;1.190;3.333;114.453;1
20250620;20250623;-0.710;3.546;153.766;1
20250619;20250620;-1.850;3.738;164.112;0
20250618;20250619;1.170;4.225;176.584;0
20250617;20250618;0.230;1.415;107.568;1
20250616;20250617;0.000;1.425;84.173;1
20250613;20250616;-2.520;2.752;174.318;0
20250612;20250613;-1.130;1.364;104.925;0
20250611;20250612;0.230;2.283;151.497;0
20250610;20250611;-1.120;3.371;219.264;1
20250609;20250610;2.530;2.752;233.039;0
20250606;20250609;-1.580;1.810;135.246;1
20250605;20250606;0.680;2.050;149.848;0
20250604;20250605;0.230;1.831;101.201;1
20250603;20250604;-0.450;2.558;111.880;1
20250530;20250603;-2.220;2.455;190.717;0
20250529;20250530;1.350;3.620;241.032;0
20250528;20250529;0.000;1.810;125.117;1
20250527;20250528;-1.770;1.563;159.264;0
20250526;20250527;2.030;4.100;229.167;0
20250523;20250526;-1.340;2.691;240.701;1
20250522;20250523;-2.390;3.680;322.660;0
20250521;20250522;-6.120;3.178;708.228;0
20250520;20250521;7.220;7.923;1186.959;0
20250519;20250520;1.560;3.333;207.957;1
20250516;20250519;0.670;3.160;183.293;1
20250515;20250516;-3.870;3.254;300.802;1
20250514;20250515;1.530;4.793;482.766;0
20250513;20250514;-1.290;3.797;328.892;1
20250512;20250513;1.530;1.957;265.957;0
