当前日期;次日日期;涨跌幅(%);振幅(%);成交额(千万元);次日涨跌(1=涨,0=跌,-1=最新数据)
20250326;20250327;4.950;8.046;73.152;0
20250325;20250326;1.000;4.167;32.451;1
20250324;20250325;-4.150;5.591;43.798;1
20250321;20250324;-0.630;3.025;32.612;0
20250320;20250321;-0.320;1.735;21.001;0
20250319;20250320;-1.860;2.184;21.704;0
20250318;20250319;1.100;1.863;26.194;0
20250317;20250318;0.310;3.297;34.143;1
20250314;20250317;2.420;3.221;41.408;1
20250313;20250314;-0.960;2.544;37.563;1
20250312;20250313;-1.420;2.205;29.781;0
20250311;20250312;-0.630;1.577;20.201;0
20250310;20250311;0.310;1.884;19.175;0
20250307;20250310;-0.930;1.866;21.741;1
20250306;20250307;0.310;1.404;22.022;0
20250305;20250306;-0.770;2.477;26.726;1
20250304;20250305;2.050;2.362;25.861;0
20250303;20250304;1.440;3.185;36.825;1
20250228;20250303;-3.850;3.704;37.094;1
20250227;20250228;-0.460;2.151;25.196;0
20250226;20250227;1.090;1.860;24.856;0
20250225;20250226;-2.420;2.723;33.591;1
20250224;20250225;1.850;4.784;49.316;0
20250221;20250224;-1.520;2.711;27.252;1
20250220;20250221;0.300;1.672;25.643;0
20250219;20250220;0.310;1.674;22.407;1
20250218;20250219;-1.650;2.560;29.937;1
20250217;20250218;-0.150;2.093;27.040;0
20250214;20250217;-0.600;1.639;30.120;0
20250213;20250214;-0.150;1.642;27.374;0
20250212;20250213;-0.150;2.526;38.187;0
20250211;20250212;-2.600;3.043;44.915;0
20250210;20250211;-0.580;2.286;46.460;0
20250207;20250210;-0.710;3.424;58.294;0
20250206;20250207;0.000;2.564;38.603;0
20250205;20250206;0.720;1.857;26.475;0
20250127;20250205;0.720;3.165;32.535;1
20250124;20250127;-0.860;3.874;32.994;1
20250123;20250124;-0.140;3.424;27.230;0
20250122;20250123;-2.240;2.418;25.446;0
20250121;20250122;-0.830;2.483;27.908;0
20250120;20250121;1.270;4.213;47.184;0
20250117;20250120;0.280;3.566;36.213;1
20250116;20250117;0.570;2.131;29.753;1
20250115;20250116;0.140;2.707;31.660;1
20250114;20250115;3.080;3.226;26.769;1
20250113;20250114;0.740;3.737;20.435;1
20250110;20250113;-5.050;4.539;27.600;1
20250109;20250110;2.890;5.355;42.760;0
20250108;20250109;0.000;4.329;26.525;1
20250107;20250108;4.520;5.279;21.531;0
20250106;20250107;0.450;5.295;25.115;1
20250103;20250106;-5.980;6.009;53.622;1
20250102;20250103;-0.140;4.714;48.456;0
