当前日期;次日日期;涨跌幅(%);振幅(%);成交额(千万元);次日涨跌(1=涨,0=跌,-1=最新数据)
20251022;;0.510;2.686;557.731;-1
20251021;20251022;1.940;2.534;601.991;1
20251020;20251021;0.930;2.260;428.376;1
20251017;20251020;-4.350;4.098;670.012;1
20251016;20251017;0.510;2.859;724.696;0
20251015;20251016;1.940;4.377;782.934;1
20251014;20251015;-5.040;6.155;1530.417;1
20251013;20251014;-7.320;5.320;1929.949;0
20251010;20251013;-4.780;4.162;1508.651;0
20251009;20251010;2.700;3.147;1765.069;0
20250930;20251009;0.830;1.627;1085.671;1
20250929;20250930;-0.380;2.604;1080.355;1
20250926;20250929;-4.270;3.260;1853.572;0
20250925;20250926;3.460;4.833;3126.178;0
20250924;20250925;2.380;6.368;1724.009;1
20250923;20250924;-3.490;7.051;2033.227;1
20250922;20250923;1.040;2.716;1995.950;0
20250919;20250922;-0.420;4.170;2511.328;1
20250918;20250919;4.160;8.949;4030.221;0
20250917;20250918;-0.840;1.752;1171.745;1
20250916;20250917;1.060;1.812;1069.256;0
20250915;20250916;-1.000;3.011;1249.787;1
20250912;20250915;-1.970;3.587;2387.763;0
20250911;20250912;6.340;5.070;3330.406;0
20250910;20250911;2.430;3.698;1106.036;1
20250909;20250910;-2.840;2.637;809.216;1
20250908;20250909;-0.770;2.108;995.362;0
20250905;20250908;3.500;5.120;1265.435;0
20250904;20250905;-3.400;6.957;1450.454;1
20250903;20250904;-2.630;4.592;1328.645;0
20250902;20250903;-6.210;6.416;2285.577;0
20250901;20250902;4.100;2.840;3160.190;0
20250829;20250901;-2.820;2.768;2123.036;1
20250828;20250829;-2.720;5.122;3807.815;0
20250827;20250828;-2.170;4.012;3360.149;0
20250826;20250827;2.730;4.272;3556.485;0
20250825;20250826;-0.490;6.368;3777.382;1
20250822;20250825;4.060;3.102;3404.051;0
20250821;20250822;-0.480;6.154;3291.653;1
20250820;20250821;2.510;5.933;2898.332;0
20250819;20250820;0.970;6.610;3262.511;1
20250818;20250819;4.960;6.754;3030.033;1
20250815;20250818;1.570;3.285;1764.459;1
20250814;20250815;0.050;3.977;2457.661;1
20250813;20250814;1.570;2.761;1882.923;1
20250812;20250813;0.990;2.842;1442.847;1
20250811;20250812;1.940;3.183;1245.928;1
20250808;20250811;-3.080;3.141;1365.205;1
20250807;20250808;-0.220;1.961;1819.798;0
20250806;20250807;3.090;4.394;2113.003;0
20250805;20250806;-0.820;3.010;1576.816;1
20250804;20250805;-0.570;2.586;1171.887;0
20250801;20250804;-2.540;3.627;2648.654;0
20250731;20250801;7.250;10.286;4373.534;0
20250730;20250731;-2.200;2.438;742.539;1
20250729;20250730;0.130;2.648;804.007;0
20250728;20250729;-0.860;4.075;1611.969;1
20250725;20250728;2.950;2.643;1513.628;0
20250724;20250725;0.970;1.305;627.754;1
20250723;20250724;0.030;1.440;591.360;1
20250722;20250723;-1.470;1.680;745.249;1
20250721;20250722;-0.610;1.492;790.348;0
20250718;20250721;-0.740;1.633;1089.178;0
20250717;20250718;2.370;3.558;1426.100;0
20250716;20250717;0.180;2.701;1519.169;1
20250715;20250716;3.340;4.068;1721.218;1
20250714;20250715;-0.640;1.444;474.414;1
20250711;20250714;1.300;2.568;791.685;0
20250710;20250711;0.550;1.718;539.127;1
20250709;20250710;-0.520;1.355;448.805;1
20250708;20250709;2.270;3.745;806.611;0
20250707;20250708;-1.230;1.319;380.212;1
20250704;20250707;-0.410;1.800;584.430;0
20250703;20250704;1.160;3.444;557.959;0
20250702;20250703;-2.350;2.730;556.124;1
20250701;20250702;-1.430;2.102;664.633;0
20250630;20250701;0.400;0.853;599.216;0
20250627;20250630;0.400;1.805;734.462;1
20250626;20250627;-0.370;2.293;916.907;1
20250625;20250626;1.900;2.338;867.091;0
20250624;20250625;3.050;2.673;717.550;1
20250623;20250624;0.880;2.810;381.232;1
20250620;20250623;-1.670;2.897;465.725;1
20250619;20250620;-1.290;3.836;581.273;0
20250618;20250619;0.800;1.747;474.107;0
20250617;20250618;-0.470;1.348;357.703;1
20250616;20250617;0.550;1.945;398.719;0
20250613;20250616;-2.800;2.595;641.056;1
20250612;20250613;-0.610;1.561;418.426;0
20250611;20250612;0.190;1.337;426.565;0
20250610;20250611;-2.510;3.797;740.973;1
20250609;20250610;0.470;1.179;545.685;0
20250606;20250609;-0.470;1.806;639.844;1
20250605;20250606;2.630;3.318;1005.806;0
20250604;20250605;0.970;2.785;537.571;1
20250603;20250604;-0.380;2.414;370.944;1
20250530;20250603;-2.370;2.639;591.304;0
20250529;20250530;3.260;3.804;928.143;0
20250528;20250529;-1.340;2.010;544.373;1
20250527;20250528;-2.280;2.523;639.342;0
20250526;20250527;1.060;2.474;611.622;0
20250523;20250526;-4.020;4.045;969.068;1
20250522;20250523;-3.880;2.488;1323.832;0
20250521;20250522;5.460;8.217;2406.651;0
20250520;20250521;0.260;2.425;598.596;1
20250519;20250520;-1.220;2.917;578.816;1
20250516;20250519;-0.050;1.949;602.074;0
20250515;20250516;-3.760;3.782;875.027;0
20250514;20250515;0.370;2.450;924.338;0
20250513;20250514;-1.260;3.053;1083.488;1
20250512;20250513;0.710;1.889;1020.369;0
20250509;20250512;-2.840;2.667;1273.786;1
20250508;20250509;1.390;4.050;1774.582;0
20250507;20250508;-2.390;5.187;2345.412;1
20250506;20250507;4.830;4.474;2663.728;0
20250430;20250506;6.090;8.966;2535.845;1
20250429;20250430;1.940;4.776;1588.916;1
20250428;20250429;1.180;3.035;1293.966;1
20250425;20250428;1.920;3.361;950.933;1
20250424;20250425;-2.350;3.100;718.919;1
20250423;20250424;1.270;1.929;975.744;0
20250422;20250423;-2.150;2.990;797.342;1
20250421;20250422;1.640;2.907;981.385;0
20250418;20250421;0.680;3.712;924.355;1
20250417;20250418;0.870;5.066;1201.999;1
20250416;20250417;-1.320;6.419;976.953;1
20250415;20250416;-0.380;3.493;729.589;0
20250414;20250415;0.950;3.130;1120.678;0
20250411;20250414;1.540;5.028;1247.966;1
20250410;20250411;4.550;3.972;1522.161;1
20250409;20250410;2.420;10.447;1475.359;1
20250408;20250409;-6.740;9.314;1784.492;1
20250407;20250408;-10.000;6.423;654.869;0
20250403;20250407;-0.100;3.925;1103.564;0
20250402;20250403;-0.200;1.640;636.341;0
20250401;20250402;-1.480;3.209;895.635;0
20250331;20250401;-3.720;4.780;1612.267;0
20250328;20250331;-1.090;2.175;820.900;0
20250327;20250328;0.300;2.715;1143.746;0
20250326;20250327;-0.070;2.228;938.878;1
20250325;20250326;-3.730;4.292;1262.363;0
20250324;20250325;-0.710;4.580;1682.094;0
20250321;20250324;-4.820;4.081;2152.420;0
20250320;20250321;-1.310;4.716;1747.375;0
20250319;20250320;-0.440;2.307;1475.177;0
20250318;20250319;-0.210;2.984;1686.505;0
20250317;20250318;0.600;3.935;1558.559;0
20250314;20250317;0.900;3.588;1832.554;1
20250313;20250314;-2.320;4.694;2079.348;1
20250312;20250313;1.040;4.250;2945.049;0
20250311;20250312;1.620;4.837;2031.380;1
20250310;20250311;-3.620;3.477;2598.902;1
20250307;20250310;-5.960;5.979;4335.328;0
20250306;20250307;7.450;7.633;5773.515;0
20250305;20250306;2.890;6.637;4248.059;1
20250304;20250305;-1.170;2.510;2525.580;1
20250303;20250304;-1.540;5.779;2989.596;0
20250228;20250303;-0.250;4.470;4114.043;0
20250227;20250228;-4.950;7.292;4782.832;0
20250226;20250227;-4.470;6.157;4934.637;0
20250225;20250226;-7.170;10.676;5784.827;0
20250224;20250225;1.380;9.089;6350.833;0
20250221;20250224;1.840;11.053;7978.250;1
20250220;20250221;-2.050;8.821;6546.597;1
20250219;20250220;0.880;6.044;7013.912;0
20250218;20250219;4.570;12.727;8054.843;1
20250217;20250218;2.420;7.659;9204.309;1
20250214;20250217;9.990;14.146;4065.225;1
20250213;20250214;7.150;13.730;6374.929;1
20250212;20250213;2.790;7.853;4960.949;1
20250211;20250212;-0.390;7.158;7355.763;1
20250210;20250211;10.010;3.897;3218.706;0
20250207;20250210;10.010;10.510;4356.472;1
20250206;20250207;3.810;6.484;1745.863;1
20250205;20250206;7.050;4.915;1612.762;1
20250127;20250205;-2.860;4.077;540.730;1
20250124;20250127;2.820;3.316;687.873;0
20250123;20250124;-1.690;4.024;645.731;1
20250122;20250123;-0.120;1.739;520.101;0
20250121;20250122;2.150;2.194;601.620;0
20250120;20250121;0.150;1.618;424.438;1
20250117;20250120;-0.210;2.241;414.826;1
20250116;20250117;1.050;3.218;561.767;0
20250115;20250116;-0.190;2.322;580.438;1
20250114;20250115;5.210;5.518;678.760;0
20250113;20250114;-0.320;3.503;346.839;1
20250110;20250113;-2.220;3.608;463.057;0
20250109;20250110;0.320;3.405;474.576;0
20250108;20250109;-2.640;5.493;648.989;1
20250107;20250108;3.860;4.071;573.387;0
20250106;20250107;-1.430;4.327;511.036;1
20250103;20250106;-4.550;4.939;630.875;0
20250102;20250103;-5.850;7.787;1082.524;0
